entry	entry_name	protein_names	protein_families	organism	ec_number	gene_names(primary)	gene_ontology(molecular_function)	primary_name
O35346	FAK1_RAT	Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)	Protein kinase superfamily, Tyr protein kinase family, FAK subfamily	Rattus norvegicus (Rat)	2.7.10.2	Ptk2	actin binding [GO:0003779]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; integrin binding [GO:0005178]; JUN kinase binding [GO:0008432]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phosphatase binding [GO:0019902]; phosphatidylinositol 3-kinase binding [GO:0043548]; protein-containing complex binding [GO:0044877]; protein kinase binding [GO:0019901]; protein phosphatase binding [GO:0019903]; protein tyrosine kinase activity [GO:0004713]; SH2 domain binding [GO:0042169]; signaling receptor binding [GO:0005102]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; ubiquitin protein ligase binding [GO:0031625]	Focal adhesion kinase 1
O08790	FPRS1_MOUSE	Formyl peptide receptor-related sequence 1 (FMLP-related receptor I) (FMLP-R-I) (Formyl peptide receptor related sequence 1) (Formyl peptide receptor-like 1) (Lipoxin A4 receptor) (LXA4 receptor) (N-formyl peptide receptor 2) (N-formyl peptide receptor 3)	G-protein coupled receptor 1 family	Mus musculus (Mouse)		Fpr-s1	complement receptor activity [GO:0004875]; G protein-coupled receptor activity [GO:0004930]; N-formyl peptide receptor activity [GO:0004982]; signaling receptor activity [GO:0038023]	Formyl peptide receptor-related sequence 1
O15392	BIRC5_HUMAN	Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin)	IAP family	Homo sapiens (Human)		BIRC5	chaperone binding [GO:0051087]; cobalt ion binding [GO:0050897]; cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; microtubule binding [GO:0008017]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; small GTPase binding [GO:0031267]; tubulin binding [GO:0015631]; zinc ion binding [GO:0008270]	Baculoviral IAP repeat-containing protein 5
O35240	ASIC3_RAT	Acid-sensing ion channel 3 (ASIC3) (Amiloride-sensitive cation channel 3) (Dorsal root ASIC) (DRASIC)	Amiloride-sensitive sodium channel (TC 1.A.6) family, ASIC3 subfamily	Rattus norvegicus (Rat)		Asic3	acid-sensing ion channel activity [GO:0044736]; cation channel activity [GO:0005261]; enterobactin transmembrane transporter activity [GO:0042931]; ligand-gated sodium channel activity [GO:0015280]	Acid-sensing ion channel 3
O54798	BRS3_MOUSE	Bombesin receptor subtype-3 (BRS-3)	G-protein coupled receptor 1 family	Mus musculus (Mouse)		Brs3	bombesin receptor activity [GO:0004946]; G protein-coupled receptor activity [GO:0004930]	Bombesin receptor subtype-3
O08786	CCKAR_MOUSE	Cholecystokinin receptor type A (CCK-A receptor) (CCK-AR) (Cholecystokinin-1 receptor) (CCK1-R)	G-protein coupled receptor 1 family	Mus musculus (Mouse)		Cckar	cholecystokinin receptor activity [GO:0004951]; G protein-coupled receptor activity [GO:0004930]; peptide hormone binding [GO:0017046]	Cholecystokinin receptor type A
O54814	CCR3_RAT	C-C chemokine receptor type 3 (C-C CKR-3) (CC-CKR-3) (CCR-3) (CCR3) (CKR3) (CD antigen CD193)	G-protein coupled receptor 1 family	Rattus norvegicus (Rat)		Ccr3	C-C chemokine binding [GO:0019957]; C-C chemokine receptor activity [GO:0016493]; chemokine receptor activity [GO:0004950]	C-C chemokine receptor type 3
O08967	CYH3_MOUSE	Cytohesin-3 (ARF nucleotide-binding site opener 3) (Protein ARNO3) (General receptor of phosphoinositides 1) (Grp1) (PH, SEC7 and coiled-coil domain-containing protein 3) (CLM3) (SEC7 homolog C) (mSec7-3)		Mus musculus (Mouse)		Cyth3	guanyl-nucleotide exchange factor activity [GO:0005085]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]	Cytohesin-3
O43739	CYH3_HUMAN	Cytohesin-3 (ARF nucleotide-binding site opener 3) (Protein ARNO3) (General receptor of phosphoinositides 1) (Grp1) (PH, SEC7 and coiled-coil domain-containing protein 3)		Homo sapiens (Human)		CYTH3	guanyl-nucleotide exchange factor activity [GO:0005085]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]	Cytohesin-3
O54939	DHB3_RAT	Testosterone 17-beta-dehydrogenase 3 (EC 1.1.1.64) (17-beta-hydroxysteroid dehydrogenase type 3) (17-beta-HSD 3) (Estradiol 17-beta-dehydrogenase 2) (EC 1.1.1.62) (Testicular 17-beta-hydroxysteroid dehydrogenase)	Short-chain dehydrogenases/reductases (SDR) family, 17-beta-HSD 3 subfamily	Rattus norvegicus (Rat)	1.1.1.64; 1.1.1.62	Hsd17b3	17-beta-hydroxysteroid dehydrogenase (NADP+) activity [GO:0072582]; estradiol 17-beta-dehydrogenase activity [GO:0004303]; testosterone 17-beta-dehydrogenase (NADP+) activity [GO:0047045]; testosterone dehydrogenase (NAD+) activity [GO:0047035]	Testosterone 17-beta-dehydrogenase 3
O15254	ACOX3_HUMAN	Peroxisomal acyl-coenzyme A oxidase 3 (EC 1.3.3.6) (Branched-chain acyl-CoA oxidase) (BRCACox) (Pristanoyl-CoA oxidase)	Acyl-CoA oxidase family	Homo sapiens (Human)	1.3.3.6	ACOX3	acyl-CoA oxidase activity [GO:0003997]; FAD binding [GO:0071949]; fatty acid binding [GO:0005504]; flavin adenine dinucleotide binding [GO:0050660]; pristanoyl-CoA oxidase activity [GO:0016402]	Peroxisomal acyl-coenzyme A oxidase 3
O46635	5HT2A_CANLF	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (5-hydroxytryptamine receptor) (Serotonin receptor 2A)	G-protein coupled receptor 1 family	Canis lupus familiaris (Dog) (Canis familiaris)		HTR2A	1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding [GO:0071886]; G protein-coupled serotonin receptor activity [GO:0004993]; Gq/11-coupled serotonin receptor activity [GO:0001587]; identical protein binding [GO:0042802]; neurotransmitter receptor activity [GO:0030594]; serotonin binding [GO:0051378]	5-hydroxytryptamine receptor 2A
O43598	DNPH1_HUMAN	2'-deoxynucleoside 5'-phosphate N-hydrolase 1 (EC 3.2.2.-) (c-Myc-responsive protein RCL)	2'-deoxynucleoside 5'-phosphate N-hydrolase 1 family	Homo sapiens (Human)	3.2.2.-	DNPH1	deoxyribonucleoside 5'-monophosphate N-glycosidase activity [GO:0070694]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]	2'-deoxynucleoside 5'-phosphate N-hydrolase 1
O43293	DAPK3_HUMAN	Death-associated protein kinase 3 (DAP kinase 3) (EC 2.7.11.1) (DAP-like kinase) (Dlk) (MYPT1 kinase) (Zipper-interacting protein kinase) (ZIP-kinase)	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily	Homo sapiens (Human)	2.7.11.1	DAPK3	ATP binding [GO:0005524]; cAMP response element binding protein binding [GO:0008140]; identical protein binding [GO:0042802]; leucine zipper domain binding [GO:0043522]; protein C-terminus binding [GO:0008022]; protein homodimerization activity [GO:0042803]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; small GTPase binding [GO:0031267]	Death-associated protein kinase 3
O09175	AMPB_RAT	Aminopeptidase B (AP-B) (EC 3.4.11.6) (Arginine aminopeptidase) (Arginyl aminopeptidase) (Cytosol aminopeptidase IV)	Peptidase M1 family	Rattus norvegicus (Rat)	3.4.11.6	Rnpep	aminopeptidase activity [GO:0004177]; cobalt ion binding [GO:0050897]; copper ion binding [GO:0005507]; metalloaminopeptidase activity [GO:0070006]; peptide binding [GO:0042277]; zinc ion binding [GO:0008270]	Aminopeptidase B
O35493	CLK4_MOUSE	Dual specificity protein kinase CLK4 (EC 2.7.12.1) (CDC-like kinase 4)	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, Lammer subfamily	Mus musculus (Mouse)	2.7.12.1	Clk4	ATP binding [GO:0005524]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	Dual specificity protein kinase CLK4
O54908	DKK1_MOUSE	Dickkopf-related protein 1 (Dickkopf-1) (Dkk-1) (mDkk-1)	Dickkopf family	Mus musculus (Mouse)		Dkk1	co-receptor binding [GO:0039706]; low-density lipoprotein particle receptor binding [GO:0050750]; receptor antagonist activity [GO:0048019]	Dickkopf-related protein 1
O43781	DYRK3_HUMAN	Dual specificity tyrosine-phosphorylation-regulated kinase 3 (EC 2.7.12.1) (Regulatory erythroid kinase) (REDK)	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MNB/DYRK subfamily	Homo sapiens (Human)	2.7.12.1	DYRK3	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein kinase activity [GO:0004672]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	Dual specificity tyrosine-phosphorylation-regulated kinase 3
O15229	KMO_HUMAN	Kynurenine 3-monooxygenase (EC 1.14.13.9) (Kynurenine 3-hydroxylase)	Aromatic-ring hydroxylase family, KMO subfamily	Homo sapiens (Human)	1.14.13.9	KMO	FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; kynurenine 3-monooxygenase activity [GO:0004502]; NAD(P)H oxidase H2O2-forming activity [GO:0016174]	Kynurenine 3-monooxygenase
O15303	GRM6_HUMAN	Metabotropic glutamate receptor 6 (mGluR6)	G-protein coupled receptor 3 family	Homo sapiens (Human)		GRM6	adenylate cyclase inhibiting G protein-coupled glutamate receptor activity [GO:0001640]; glutamate receptor activity [GO:0008066]; G protein-coupled receptor activity [GO:0004930]; protein homodimerization activity [GO:0042803]	Metabotropic glutamate receptor 6
O54754	AOXA_MOUSE	Aldehyde oxidase 1 (EC 1.2.3.1) (Azaheterocycle hydroxylase 1) (EC 1.17.3.-) (Retinal oxidase)	Xanthine dehydrogenase family	Mus musculus (Mouse)	1.2.3.1; 1.17.3.-	Aox1	2 iron, 2 sulfur cluster binding [GO:0051537]; aldehyde oxidase activity [GO:0004031]; electron transfer activity [GO:0009055]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; geranial:oxygen oxidoreductase activity [GO:0102797]; heptaldehyde:oxygen oxidoreductase activity [GO:0102798]; identical protein binding [GO:0042802]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; NAD binding [GO:0051287]; oxidoreductase activity [GO:0016491]; protein homodimerization activity [GO:0042803]; retinal oxidase activity [GO:0050250]	Aldehyde oxidase 1
O35505	CAC1C_CAVPO	Voltage-dependent L-type calcium channel subunit alpha-1C (Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle) (Voltage-gated calcium channel subunit alpha Cav1.2)	Calcium channel alpha-1 subunit (TC 1.A.1.11) family, CACNA1C subfamily	Cavia porcellus (Guinea pig)		CACNA1C	calmodulin binding [GO:0005516]; high voltage-gated calcium channel activity [GO:0008331]; metal ion binding [GO:0046872]; voltage-gated calcium channel activity [GO:0005245]	Voltage-dependent L-type calcium channel subunit alpha-1C
O14757	CHK1_HUMAN	Serine/threonine-protein kinase Chk1 (EC 2.7.11.1) (CHK1 checkpoint homolog) (Cell cycle checkpoint kinase) (Checkpoint kinase-1)	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, NIM1 subfamily	Homo sapiens (Human)	2.7.11.1	CHEK1	ATP binding [GO:0005524]; histone kinase activity (H3-T11 specific) [GO:0035402]; protein domain specific binding [GO:0019904]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Serine/threonine-protein kinase Chk1
O55143	AT2A2_MOUSE	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2) (EC 7.2.2.10) (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)	Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIA subfamily	Mus musculus (Mouse)	7.2.2.10	Atp2a2	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; enzyme binding [GO:0019899]; lutropin-choriogonadotropic hormone receptor binding [GO:0031775]; protein C-terminus binding [GO:0008022]; P-type calcium transporter activity [GO:0005388]; P-type calcium transporter activity involved in regulation of cardiac muscle cell membrane potential [GO:0086039]; P-type proton-exporting transporter activity [GO:0008553]; S100 protein binding [GO:0044548]; transmembrane transporter binding [GO:0044325]	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2
O15382	BCAT2_HUMAN	Branched-chain-amino-acid aminotransferase, mitochondrial (BCAT(m)) (EC 2.6.1.42) (Placental protein 18) (PP18)	Class-IV pyridoxal-phosphate-dependent aminotransferase family	Homo sapiens (Human)	2.6.1.42	BCAT2	branched-chain-amino-acid transaminase activity [GO:0004084]; L-isoleucine transaminase activity [GO:0052656]; L-leucine:2-oxoglutarate aminotransferase activity [GO:0050048]; L-leucine transaminase activity [GO:0052654]; L-valine transaminase activity [GO:0052655]	Branched-chain-amino-acid aminotransferase, mitochondrial
O15121	DEGS1_HUMAN	Sphingolipid delta(4)-desaturase DES1 (EC 1.14.19.17) (Cell migration-inducing gene 15 protein) (Degenerative spermatocyte homolog 1) (Dihydroceramide desaturase-1) (Membrane lipid desaturase)	Fatty acid desaturase type 1 family, DEGS subfamily	Homo sapiens (Human)	1.14.19.17	DEGS1	electron transfer activity [GO:0009055]; retinol isomerase activity [GO:0050251]; sphingolipid delta-4 desaturase activity [GO:0042284]	Sphingolipid delta(4)-desaturase DES1
O54833	CSK22_MOUSE	Casein kinase II subunit alpha' (CK II alpha') (EC 2.7.11.1)	Protein kinase superfamily, Ser/Thr protein kinase family, CK2 subfamily	Mus musculus (Mouse)	2.7.11.1	Csnk2a2	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein N-terminus binding [GO:0047485]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Casein kinase II subunit alpha'
O46521	CY24A_BOVIN	Cytochrome b-245 light chain (Cytochrome b(558) alpha chain) (Cytochrome b558 subunit alpha) (Neutrophil cytochrome b 22 kDa polypeptide) (Superoxide-generating NADPH oxidase light chain subunit) (p22 phagocyte B-cytochrome) (p22-phox) (p22phox)	P22phox family	Bos taurus (Bovine)		CYBA	electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; protein heterodimerization activity [GO:0046982]; SH3 domain binding [GO:0017124]; superoxide-generating NAD(P)H oxidase activity [GO:0016175]	Cytochrome b-245 light chain
O54967	ACK1_MOUSE	Activated CDC42 kinase 1 (ACK-1) (EC 2.7.10.2) (EC 2.7.11.1) (Non-receptor protein tyrosine kinase Ack) (Tyrosine kinase non-receptor protein 2)	Protein kinase superfamily, Tyr protein kinase family	Mus musculus (Mouse)	2.7.10.2; 2.7.11.1	Tnk2	ATP binding [GO:0005524]; epidermal growth factor receptor binding [GO:0005154]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; protein tyrosine kinase activity [GO:0004713]; signaling receptor binding [GO:0005102]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; ubiquitin protein ligase binding [GO:0031625]; WW domain binding [GO:0050699]	Activated CDC42 kinase 1
O60218	AK1BA_HUMAN	Aldo-keto reductase family 1 member B10 (EC 1.1.1.300) (EC 1.1.1.54) (ARL-1) (Aldose reductase-like) (Aldose reductase-related protein) (ARP) (hARP) (Small intestine reductase) (SI reductase)	Aldo/keto reductase family	Homo sapiens (Human)	1.1.1.300; 1.1.1.54	AKR1B10	alcohol dehydrogenase (NADP+) activity [GO:0008106]; alditol:NADP+ 1-oxidoreductase activity [GO:0004032]; aldo-keto reductase (NADP) activity [GO:0004033]; allyl-alcohol dehydrogenase activity [GO:0047655]; D-threo-aldose 1-dehydrogenase activity [GO:0047834]; geranylgeranyl reductase activity [GO:0045550]; indanol dehydrogenase activity [GO:0047718]; NADP-retinol dehydrogenase activity [GO:0052650]; retinal dehydrogenase activity [GO:0001758]	Aldo-keto reductase family 1 member B10
O55017	CAC1B_MOUSE	Voltage-dependent N-type calcium channel subunit alpha-1B (Brain calcium channel III) (BIII) (Calcium channel, L type, alpha-1 polypeptide isoform 5) (Voltage-gated calcium channel subunit alpha Cav2.2)	Calcium channel alpha-1 subunit (TC 1.A.1.11) family, CACNA1B subfamily	Mus musculus (Mouse)		Cacna1b	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; high voltage-gated calcium channel activity [GO:0008331]; protein C-terminus binding [GO:0008022]; protein phosphatase 2A binding [GO:0051721]; voltage-gated calcium channel activity [GO:0005245]; voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels [GO:0099635]	Voltage-dependent N-type calcium channel subunit alpha-1B
